feature,mean,scale
f0_median,283.9823944314486,61.29076403687106
f0_iqr,91.12178601867696,67.51165407744614
f0_p10,175.0815211437642,69.47371607008364
f0_p90,389.42538152171574,111.63503868809674
voiced_ratio,0.9541484716157205,0.06022650837734541
f1_median,641.3518243065154,131.2408704875941
f2_median,2085.025971127723,373.68488180060643
f3_median,3519.8820532390596,266.71658647395634
f2_minus_f1_median,1364.0876176947406,378.73962724538893
f3_minus_f2_median,1407.4139266401899,298.2105056796795
formant_dispersion,1376.9560085718504,129.68193797233732
mfcc_01_mean,-384.63719410863115,44.087435332917316
mfcc_01_std,78.78850677644184,29.765356950158758
mfcc_02_mean,90.65675788011288,39.45934089953081
mfcc_02_std,44.249572021454675,15.452411335827483
mfcc_03_mean,-3.3053909023730057,20.0257757783593
mfcc_03_std,32.57544363883363,10.471140114869106
mfcc_04_mean,8.243735183579822,17.565224267942583
mfcc_04_std,24.192159864834515,7.747263327681048
mfcc_05_mean,-28.728059801335984,15.699474880736142
mfcc_05_std,24.373057098995456,7.0195242435321505
mfcc_06_mean,-7.665561067136633,10.92899664626157
mfcc_06_std,16.27792794125586,4.131945164245284
mfcc_07_mean,-20.27602449530775,11.61524569676129
mfcc_07_std,15.858357748201326,4.329781046656836
mfcc_08_mean,-7.1730376469012285,9.102185321001107
mfcc_08_std,14.342609280824357,3.6048077103720244
mfcc_09_mean,-12.43572807102924,7.856976270714709
mfcc_09_std,13.05936456839593,3.137037479955616
mfcc_10_mean,-5.7376238998966915,7.883067900319875
mfcc_10_std,12.477204542023134,3.098113035008429
mfcc_11_mean,-9.307501105387916,7.640495893226982
mfcc_11_std,12.126800919959555,3.7018534760858386
mfcc_12_mean,-2.2782226128589573,7.4973916792935125
mfcc_12_std,11.855209841376373,4.508242436898469
mfcc_13_mean,-7.895903342317241,7.642133110796679
mfcc_13_std,12.101357194351545,4.874124399969991
spectral_centroid_mean,1648.420488924085,508.7428528097389
spectral_centroid_std,826.935603444784,404.62727103874425
spectral_bandwidth_mean,1466.0963322115506,253.4846908743976
spectral_bandwidth_std,407.4449548282246,109.38120742284006
spectral_rolloff_mean,2996.755290976696,901.6781966414636
spectral_rolloff_std,1506.696104574696,445.19253327613353
zcr_mean,0.13081207574905962,0.05758256229786136
zcr_std,0.10343313625854084,0.0688162439003544
rms_energy_mean,0.09112563887215105,0.020602009616059985
rms_energy_std,0.06305226471296523,0.018644676886252206
spectral_energy_mean,502.0950215922913,199.9285100901691
spectral_energy_std,610.035921350529,348.3946162390203
log_spectral_energy_mean,4.772805793938773,0.9445052609115024
log_spectral_energy_std,2.1719854181018245,0.8909142095577002
