feature,importance
mfcc_01_mean,0.036421065137609974
f3_median,0.03413663687298512
f0_p10,0.0311605265562064
mfcc_11_mean,0.03039966572330569
f0_p90,0.027465603067999736
mfcc_09_mean,0.026959564859059457
mfcc_13_mean,0.023666850667611965
mfcc_07_mean,0.02359903863135736
mfcc_09_std,0.02358699999239168
mfcc_05_mean,0.022918532790323423
spectral_bandwidth_std,0.022549086642114274
mfcc_10_mean,0.021820258911746538
f0_iqr,0.021680898331438422
mfcc_04_std,0.020679579775203228
f0_median,0.02066461219013258
mfcc_07_std,0.020394097556562327
mfcc_06_mean,0.02018217612052852
mfcc_12_mean,0.0200327165854705
mfcc_05_std,0.019549135671922128
mfcc_06_std,0.019543384638367762
mfcc_01_std,0.019265699816992405
mfcc_02_mean,0.019205495960505657
mfcc_13_std,0.01841800567385735
mfcc_08_mean,0.018375150778898057
zcr_std,0.0182292897513134
mfcc_03_mean,0.0178219818277553
f2_median,0.01772649840436992
mfcc_10_std,0.017320503301660323
spectral_bandwidth_mean,0.017248682133894102
zcr_mean,0.017210840825698705
mfcc_04_mean,0.017201566949864387
mfcc_02_std,0.017142712609495504
formant_dispersion,0.01711533978912028
mfcc_03_std,0.016838123391918033
spectral_energy_std,0.016682377363096627
f3_minus_f2_median,0.016637100054495858
spectral_centroid_std,0.01647884909220029
mfcc_08_std,0.016460217721992527
spectral_centroid_mean,0.016445180012931545
log_spectral_energy_std,0.0163282100564918
spectral_rolloff_std,0.016151942739224583
rms_energy_mean,0.01598711550211755
spectral_energy_mean,0.01591139384131242
rms_energy_std,0.0156774626331703
mfcc_12_std,0.015648679208512456
log_spectral_energy_mean,0.015522056595108063
spectral_rolloff_mean,0.015497800450484855
f2_minus_f1_median,0.015494791306096144
mfcc_11_std,0.015323083150538106
f1_median,0.014069328407732914
voiced_ratio,0.009154089926813505
