feature,importance
f0_median,0.25219041952155496
f0_p10,0.0929044213748676
mfcc_12_mean,0.08361472070159429
f0_p90,0.04228536428227595
mfcc_13_mean,0.03484118929526946
mfcc_02_std,0.02480022394767366
mfcc_05_mean,0.024116105298488486
mfcc_04_mean,0.023172159906196962
f1_median,0.018528717183814474
f0_iqr,0.01682875199864428
mfcc_01_mean,0.016177604911326117
mfcc_12_std,0.015322990281677423
mfcc_07_std,0.01455011770590819
mfcc_06_mean,0.014097571594683004
mfcc_01_std,0.01382128592622595
mfcc_09_mean,0.01312209372173946
mfcc_11_std,0.01190322621105066
mfcc_02_mean,0.01180291912202795
formant_dispersion,0.011134877531169592
spectral_bandwidth_std,0.010903505218700411
spectral_bandwidth_mean,0.010739415287525367
mfcc_08_mean,0.010344638669722912
f3_minus_f2_median,0.009936635788019383
spectral_energy_mean,0.009694541240040768
spectral_rolloff_std,0.009687178641990356
mfcc_06_std,0.009320815841702848
log_spectral_energy_mean,0.009216297712288818
mfcc_03_mean,0.009095351384376586
spectral_energy_std,0.008936105483355251
mfcc_07_mean,0.008849915225055668
rms_energy_mean,0.008779359019848219
mfcc_10_mean,0.00868009884777158
log_spectral_energy_std,0.008405164159722154
f3_median,0.008075955650129085
spectral_centroid_std,0.008055457110776435
mfcc_11_mean,0.00796663775575268
f2_median,0.007850796992540767
mfcc_05_std,0.007790391901505305
rms_energy_std,0.007779190501164311
mfcc_09_std,0.007702304193121077
mfcc_13_std,0.0076361523445372505
spectral_centroid_mean,0.0075724851602000905
f2_minus_f1_median,0.007529592257924948
mfcc_03_std,0.007153229238871747
mfcc_10_std,0.007103041388412519
spectral_rolloff_mean,0.007055238822475821
zcr_mean,0.007050369148097663
voiced_ratio,0.006843671203818512
mfcc_04_std,0.0065919977398274255
zcr_std,0.006454921200142991
mfcc_08_std,0.005984784354392582
