,precision,recall,f1-score,support
adult_male,0.95,0.95,0.95,20.0
adult_female,0.7083333333333334,0.85,0.7727272727272727,20.0
child_boy,0.625,0.5769230769230769,0.6,26.0
child_girl,0.6666666666666666,0.6153846153846154,0.64,26.0
accuracy,0.7282608695652174,0.7282608695652174,0.7282608695652174,0.7282608695652174
macro avg,0.7374999999999999,0.748076923076923,0.7406818181818182,92.0
weighted avg,0.7255434782608695,0.7282608695652174,0.7249407114624505,92.0
