feature,mean,scale
f0_median,240.24976604481495,79.88043790655281
f0_iqr,78.61055639233386,63.486627067489046
f0_p10,154.52686610987485,64.16585904648318
f0_p90,356.7547597459866,124.20194892781805
voiced_ratio,0.9489398877309507,0.06352466344144897
f1_median,633.5941538889969,196.83644076004495
f2_median,2109.4082713737757,365.6767510865375
f3_median,3512.019552092807,314.1012784780729
f2_minus_f1_median,1389.3095177346486,346.3153842905869
f3_minus_f2_median,1379.9639962000483,276.36080515782123
formant_dispersion,1378.5829415323803,140.19731049908236
mfcc_01_mean,-382.42254858868193,46.87821859352242
mfcc_01_std,83.12045869051511,29.274695435385386
mfcc_02_mean,94.33545849353035,37.001174465799444
mfcc_02_std,48.414445981352536,16.627141642900206
mfcc_03_mean,2.4031780885229046,20.8133862914683
mfcc_03_std,31.592159320789737,9.468349160491062
mfcc_04_mean,13.888680607697355,19.051003442722727
mfcc_04_std,25.16681337815916,7.404062233034778
mfcc_05_mean,-18.65797583230826,19.19901346467714
mfcc_05_std,22.787511366972236,6.537503752812453
mfcc_06_mean,-6.09634783955967,11.188156516344952
mfcc_06_std,16.29129243651518,3.8833754552076867
mfcc_07_mean,-16.050872738718855,12.313616532925531
mfcc_07_std,15.480359206046517,3.8701734624418944
mfcc_08_mean,-7.913370766863822,9.335188460851706
mfcc_08_std,14.315520130960373,3.3372504531482456
mfcc_09_mean,-11.808790336101525,8.24619792000074
mfcc_09_std,13.044208739228296,2.9793689580994998
mfcc_10_mean,-6.810351720245287,8.595575157067215
mfcc_10_std,12.553893408018785,2.887164688462244
mfcc_11_mean,-8.985692016764714,7.6484733231796485
mfcc_11_std,11.893251374970294,3.1923884771381337
mfcc_12_mean,-3.655823810226044,7.972153157989821
mfcc_12_std,11.61504499473387,3.7639883461479586
mfcc_13_mean,-7.54322545273274,7.339550740024514
mfcc_13_std,11.53942601963526,4.063734610952896
spectral_centroid_mean,1638.1868886600892,498.7379640488313
spectral_centroid_std,891.7018484758736,400.39811572698983
spectral_bandwidth_mean,1495.2604924331565,253.86486022889554
spectral_bandwidth_std,418.08295417955446,104.90482480610399
spectral_rolloff_mean,2994.2810242382184,887.7336844718488
spectral_rolloff_std,1587.339488924062,445.39103114733746
zcr_mean,0.12995240027757468,0.05811807223712055
zcr_std,0.11276808342624765,0.06776692742737048
rms_energy_mean,0.08982560797956984,0.021440210154802426
rms_energy_std,0.06227937518955033,0.01830693364805247
spectral_energy_mean,490.4439708914289,203.18735739162605
spectral_energy_std,600.5661514075024,340.23830236670653
log_spectral_energy_mean,4.706687263040558,1.0297436359289152
log_spectral_energy_std,2.217549501511687,0.9297432702368857
